timestamp,camera,cars,motorbikes,buses,trucks,avg_speed_kmh
2026-02-05 10:57:00,cibadak_bogor,11,32,0,9,0.92
2026-02-05 10:58:00,cibadak_bogor,21,111,0,13,0.94
2026-02-05 10:59:00,cibadak_bogor,32,13,0,5,0.9
2026-02-05 11:00:00,cibadak_bogor,20,58,0,8,0.97
2026-02-05 11:01:00,cibadak_bogor,28,24,18,25,0.84
2026-02-05 11:02:00,cibadak_bogor,18,4,0,6,0.94
2026-02-05 11:03:00,cibadak_bogor,34,23,0,22,0.95
2026-02-05 11:17:00,cibadak_bogor,21,25,0,5,1.09
2026-02-05 11:18:00,cibadak_bogor,22,21,3,9,1.06
2026-02-05 11:19:00,cibadak_bogor,37,29,0,9,1.04
2026-02-05 11:20:00,cibadak_bogor,26,24,0,4,0.9
2026-02-05 11:21:00,cibadak_bogor,31,8,0,10,0.89
2026-02-05 11:22:00,cibadak_bogor,28,22,0,18,1.0
2026-02-05 11:23:00,cibadak_bogor,44,73,0,14,1.01
2026-02-05 11:24:00,cibadak_bogor,29,65,1,14,1.0
2026-02-05 11:25:00,cibadak_bogor,16,35,0,3,1.01
2026-02-05 11:26:00,cibadak_bogor,38,44,4,27,0.96
2026-02-05 11:27:00,cibadak_bogor,31,19,3,20,0.98
2026-02-05 11:28:00,cibadak_bogor,37,36,0,12,0.96
2026-02-05 11:29:00,cibadak_bogor,37,41,0,15,1.01
2026-02-05 11:30:00,cibadak_bogor,19,18,1,7,0.99
2026-02-05 11:31:00,cibadak_bogor,27,83,1,16,1.01
2026-02-05 11:32:00,cibadak_bogor,28,53,0,10,0.97
2026-02-05 11:33:00,cibadak_bogor,35,13,0,7,0.86
2026-02-05 11:34:00,cibadak_bogor,46,37,3,25,1.02
2026-02-05 11:35:00,cibadak_bogor,33,31,0,1,1.02
2026-02-05 11:36:00,cibadak_bogor,33,64,1,13,0.96
2026-02-05 11:37:00,cibadak_bogor,35,22,0,10,0.95
2026-02-05 11:38:00,cibadak_bogor,26,20,0,6,0.94
2026-02-05 11:39:00,cibadak_bogor,30,45,6,23,0.95
2026-02-05 11:40:00,cibadak_bogor,37,43,2,11,1.02
2026-02-05 11:41:00,cibadak_bogor,32,123,1,17,0.99
2026-02-05 11:42:00,cibadak_bogor,26,30,0,6,0.96
2026-02-05 11:43:00,cibadak_bogor,24,14,0,3,0.86
2026-02-05 11:44:00,cibadak_bogor,31,72,0,16,1.06
2026-02-05 11:45:00,cibadak_bogor,26,10,0,3,1.0
2026-02-05 11:46:00,cibadak_bogor,18,63,0,5,1.06
2026-02-05 11:47:00,cibadak_bogor,20,17,0,1,0.94
2026-02-05 11:48:00,cibadak_bogor,10,19,0,12,1.09
2026-02-05 11:49:00,cibadak_bogor,31,26,0,17,1.01
2026-02-05 11:50:00,cibadak_bogor,8,4,0,2,0.0
2026-02-05 11:51:00,cibadak_bogor,35,31,2,16,0.99
2026-02-05 11:52:00,cibadak_bogor,38,13,3,22,0.91
2026-02-05 11:53:00,cibadak_bogor,15,14,0,9,0.93
2026-02-05 11:54:00,cibadak_bogor,27,71,0,19,0.91
2026-02-05 11:55:00,cibadak_bogor,12,29,4,12,0.97
2026-02-05 12:01:00,cibadak_bogor,4,6,0,5,1.0
2026-02-05 12:02:00,cibadak_bogor,20,18,0,15,1.02
2026-02-05 12:03:00,cibadak_bogor,17,48,0,12,1.09
2026-02-05 12:14:00,cibadak_bogor,9,126,1,17,0.96
2026-02-05 15:54:00,cibadak_bogor,6,94,0,3,1.11
2026-02-05 15:55:00,cibadak_bogor,37,145,1,19,1.01
2026-02-05 15:56:00,cibadak_bogor,34,30,0,6,0.97
2026-02-05 15:57:00,cibadak_bogor,27,57,0,8,1.03
2026-02-05 15:58:00,cibadak_bogor,45,86,0,10,0.96
2026-02-05 15:59:00,cibadak_bogor,41,4,0,5,1.0
2026-02-05 16:00:00,cibadak_bogor,32,20,0,4,0.79
2026-02-05 16:01:00,cibadak_bogor,38,103,0,16,0.98
2026-02-05 16:02:00,cibadak_bogor,26,12,5,13,0.95
2026-02-05 16:03:00,cibadak_bogor,29,14,0,14,0.97
2026-02-05 16:04:00,cibadak_bogor,42,77,2,8,0.99
2026-02-05 16:05:00,cibadak_bogor,48,76,0,9,0.91
2026-02-05 16:06:00,cibadak_bogor,23,37,0,6,0.97
2026-02-05 16:07:00,cibadak_bogor,42,46,1,20,0.94
2026-02-05 16:08:00,cibadak_bogor,48,32,0,6,0.98
2026-02-05 16:09:00,cibadak_bogor,35,55,2,4,0.98
2026-02-05 16:10:00,cibadak_bogor,60,90,0,10,1.06
2026-02-05 16:11:00,cibadak_bogor,43,21,0,1,0.96
2026-02-05 16:12:00,cibadak_bogor,29,93,0,6,1.03
2026-02-05 16:13:00,cibadak_bogor,43,37,0,26,0.96
2026-02-05 16:14:00,cibadak_bogor,26,18,3,7,0.96
2026-02-05 16:15:00,cibadak_bogor,22,71,0,6,0.93
2026-02-05 16:16:00,cibadak_bogor,40,30,0,14,1.0
2026-02-05 16:17:00,cibadak_bogor,21,27,0,10,1.04
2026-02-05 16:18:00,cibadak_bogor,34,71,0,8,0.96
2026-02-05 16:19:00,cibadak_bogor,35,85,0,11,0.95
2026-02-05 16:20:00,cibadak_bogor,26,13,0,20,0.89
2026-02-05 16:21:00,cibadak_bogor,7,10,0,4,0.94
2026-02-05 16:22:00,cibadak_bogor,9,7,0,1,1.11
2026-02-05 16:29:00,cibadak_bogor,11,134,0,3,1.01
2026-02-05 16:30:00,cibadak_bogor,17,107,0,5,1.01
2026-02-05 16:31:00,cibadak_bogor,35,36,1,12,1.0
2026-02-05 16:32:00,cibadak_bogor,28,34,0,19,0.95
2026-02-05 16:33:00,cibadak_bogor,52,105,0,14,1.02
2026-02-05 16:34:00,cibadak_bogor,49,27,0,12,0.96
2026-02-05 16:35:00,cibadak_bogor,44,64,0,4,0.88
2026-02-05 16:36:00,cibadak_bogor,51,125,6,26,0.94
2026-02-05 16:37:00,cibadak_bogor,48,57,0,13,0.94
2026-02-05 16:38:00,cibadak_bogor,28,48,0,6,1.08
2026-02-05 16:39:00,cibadak_bogor,48,114,1,18,1.02
2026-02-05 16:40:00,cibadak_bogor,47,25,0,13,1.02
2026-02-05 16:41:00,cibadak_bogor,28,23,0,8,0.9
2026-02-05 16:42:00,cibadak_bogor,41,42,0,3,0.91
2026-02-05 16:43:00,cibadak_bogor,30,18,0,13,0.98
2026-02-05 16:44:00,cibadak_bogor,34,52,0,3,0.92
2026-02-05 16:45:00,cibadak_bogor,50,40,3,13,0.87
2026-02-05 16:46:00,cibadak_bogor,38,22,1,13,0.89
2026-02-05 16:47:00,cibadak_bogor,31,75,0,9,0.96
2026-02-05 16:48:00,cibadak_bogor,58,90,0,1,0.98
2026-02-05 16:49:00,cibadak_bogor,26,40,5,12,0.92
2026-02-05 16:50:00,cibadak_bogor,19,79,0,14,0.95
2026-02-05 16:51:00,cibadak_bogor,42,74,0,12,0.94
2026-02-05 16:52:00,cibadak_bogor,26,30,0,8,0.96
2026-02-05 16:53:00,cibadak_bogor,36,77,0,7,0.97
2026-02-05 16:54:00,cibadak_bogor,48,47,0,29,0.93
2026-02-05 16:55:00,cibadak_bogor,38,43,0,13,0.96
2026-02-05 16:56:00,cibadak_bogor,28,93,0,9,1.01
2026-02-05 16:57:00,cibadak_bogor,48,57,0,12,1.02
2026-02-05 16:58:00,cibadak_bogor,20,26,0,10,1.04
2026-02-05 16:59:00,cibadak_bogor,37,93,0,14,0.97
2026-02-05 17:00:00,cibadak_bogor,48,74,3,26,1.01
2026-02-05 17:01:00,cibadak_bogor,22,19,0,6,0.96
2026-02-05 17:02:00,cibadak_bogor,32,94,0,15,0.97
2026-02-05 17:03:00,cibadak_bogor,44,86,0,18,0.95
2026-02-05 17:04:00,cibadak_bogor,25,62,0,4,1.04
2026-02-05 17:05:00,cibadak_bogor,31,121,0,18,0.97
2026-02-05 17:06:00,cibadak_bogor,28,31,2,19,0.94
2026-02-05 17:07:00,cibadak_bogor,17,63,0,4,1.02
2026-02-05 17:08:00,cibadak_bogor,30,99,0,22,0.97
2026-02-05 17:09:00,cibadak_bogor,32,46,0,7,0.93
2026-02-05 17:10:00,cibadak_bogor,34,44,0,19,1.05
2026-02-05 17:11:00,cibadak_bogor,32,112,1,14,1.03
2026-02-05 17:12:00,cibadak_bogor,25,76,0,7,1.05
2026-02-05 17:13:00,cibadak_bogor,15,60,0,7,0.95
2026-02-05 17:14:00,cibadak_bogor,24,95,0,44,0.97
2026-02-05 17:15:00,cibadak_bogor,28,19,0,16,0.9
2026-02-05 17:16:00,cibadak_bogor,21,80,0,2,0.95
2026-02-05 17:17:00,cibadak_bogor,24,112,0,0,0.97
2026-02-05 17:18:00,cibadak_bogor,18,63,0,5,0.96
2026-02-05 17:19:00,cibadak_bogor,26,42,0,2,0.9
2026-02-05 17:20:00,cibadak_bogor,34,39,0,15,0.99
2026-02-05 17:21:00,cibadak_bogor,15,13,0,2,1.0
2026-02-05 17:22:00,cibadak_bogor,14,44,0,5,1.01
2026-02-05 17:23:00,cibadak_bogor,44,49,0,13,0.91
2026-02-05 17:24:00,cibadak_bogor,34,27,0,6,0.91
2026-02-05 17:25:00,cibadak_bogor,53,88,0,6,1.11
2026-02-05 17:26:00,cibadak_bogor,35,80,0,17,1.01
2026-02-05 17:27:00,cibadak_bogor,27,76,0,3,1.0
2026-02-05 17:28:00,cibadak_bogor,34,74,0,3,0.94
2026-02-05 17:29:00,cibadak_bogor,53,69,0,23,0.98
2026-02-05 17:30:00,cibadak_bogor,21,28,0,0,0.87
2026-02-05 17:31:00,cibadak_bogor,17,91,1,15,1.1
2026-02-05 17:32:00,cibadak_bogor,9,55,0,15,0.97
2026-02-05 17:32:00,cibadak_bogor,29,60,2,12,1.05
2026-02-05 17:33:00,cibadak_bogor,20,52,0,0,1.01
2026-02-05 17:33:00,cibadak_bogor,8,35,0,18,0.95
2026-02-05 17:34:00,cibadak_bogor,28,93,0,10,0.96
2026-02-05 17:34:00,cibadak_bogor,23,68,0,4,1.04
2026-02-05 17:35:00,cibadak_bogor,31,61,9,14,1.0
2026-02-05 17:35:00,cibadak_bogor,31,65,4,13,1.02
2026-02-05 17:36:00,cibadak_bogor,13,34,0,2,0.94
2026-02-05 17:36:00,cibadak_bogor,15,40,0,2,0.99
2026-02-05 17:37:00,cibadak_bogor,30,92,0,8,1.06
2026-02-05 17:37:00,cibadak_bogor,26,117,0,5,1.05
2026-02-05 17:38:00,cibadak_bogor,31,66,0,8,1.03
2026-02-05 17:38:00,cibadak_bogor,34,33,0,12,1.0
2026-02-05 17:39:00,cibadak_bogor,11,22,0,5,0.84
2026-02-05 17:39:00,cibadak_bogor,15,36,0,3,0.92
2026-02-05 17:40:00,cibadak_bogor,29,84,0,17,0.97
2026-02-05 17:40:00,cibadak_bogor,14,150,0,6,1.11
2026-02-05 17:41:00,cibadak_bogor,10,35,0,16,0.99
2026-02-05 17:41:00,cibadak_bogor,35,66,0,2,0.98
2026-02-05 17:42:00,cibadak_bogor,19,26,0,1,1.03
2026-02-05 17:42:00,cibadak_bogor,9,20,0,9,0.96
2026-02-05 17:43:00,cibadak_bogor,32,115,6,6,1.07
2026-02-05 17:43:00,cibadak_bogor,28,72,0,5,1.02
2026-02-05 17:44:00,cibadak_bogor,19,79,0,11,1.06
2026-02-05 17:44:00,cibadak_bogor,16,38,0,3,0.95
2026-02-05 17:45:00,cibadak_bogor,17,41,0,6,1.01
2026-02-05 17:45:00,cibadak_bogor,18,51,0,8,0.99
2026-02-05 17:46:00,cibadak_bogor,19,133,0,2,1.02
2026-02-05 17:46:00,cibadak_bogor,36,102,0,18,1.0
2026-02-05 17:47:00,cibadak_bogor,25,66,0,4,1.03
2026-02-05 17:47:00,cibadak_bogor,13,27,0,1,1.09
2026-02-05 17:48:00,cibadak_bogor,24,70,0,3,1.0
2026-02-05 17:48:00,cibadak_bogor,21,33,0,1,1.17
2026-02-05 17:49:00,cibadak_bogor,20,119,0,2,1.04
2026-02-05 17:49:00,cibadak_bogor,50,90,1,22,1.01
2026-02-05 17:50:00,cibadak_bogor,21,61,1,7,0.95
2026-02-05 17:50:00,cibadak_bogor,44,13,0,5,0.89
2026-02-05 17:51:00,cibadak_bogor,17,22,0,1,1.05
2026-02-05 17:51:00,cibadak_bogor,11,43,0,1,0.97
2026-02-05 17:52:00,cibadak_bogor,6,66,0,1,1.05
2026-02-05 17:52:00,cibadak_bogor,13,53,0,5,1.02
2026-02-05 17:53:00,cibadak_bogor,12,59,0,1,1.08
2026-02-05 17:53:00,cibadak_bogor,20,31,0,9,1.03
2026-02-05 17:54:00,cibadak_bogor,10,70,0,1,0.98
2026-02-05 17:54:00,cibadak_bogor,16,77,0,2,0.94
2026-02-05 17:55:00,cibadak_bogor,34,89,3,11,1.01
2026-02-05 17:55:00,cibadak_bogor,34,93,3,11,1.0
2026-02-05 17:56:00,cibadak_bogor,28,8,2,11,0.9
2026-02-05 17:56:00,cibadak_bogor,17,6,2,9,0.91
2026-02-05 17:57:00,cibadak_bogor,32,18,0,6,1.05
2026-02-05 17:57:00,cibadak_bogor,19,43,0,9,0.92
2026-02-05 17:58:00,cibadak_bogor,34,71,2,15,0.99
2026-02-05 17:58:00,cibadak_bogor,31,46,1,5,0.92
2026-02-05 17:59:00,cibadak_bogor,41,19,0,6,0.88
2026-02-05 17:59:00,cibadak_bogor,25,11,0,7,0.94
2026-02-05 18:00:00,cibadak_bogor,24,100,0,8,1.07
2026-02-05 18:00:00,cibadak_bogor,33,35,0,3,1.06
2026-02-05 18:01:00,cibadak_bogor,52,42,2,8,1.08
2026-02-05 18:01:00,cibadak_bogor,33,66,0,4,1.03
2026-02-05 18:02:00,cibadak_bogor,28,47,0,0,0.96
2026-02-05 18:02:00,cibadak_bogor,45,24,0,11,1.0
2026-02-05 18:03:00,cibadak_bogor,39,69,0,13,1.13
2026-02-05 18:03:00,cibadak_bogor,33,101,0,6,1.01
2026-02-05 18:04:00,cibadak_bogor,55,29,0,24,0.92
2026-02-05 18:04:00,cibadak_bogor,45,43,1,12,0.96
2026-02-05 18:05:00,cibadak_bogor,38,15,0,1,1.07
2026-02-05 18:05:00,cibadak_bogor,30,20,1,2,0.86
2026-02-05 18:06:00,cibadak_bogor,43,79,1,15,1.05
2026-02-05 18:06:00,cibadak_bogor,31,114,4,6,0.98
2026-02-05 18:07:00,cibadak_bogor,43,52,3,9,1.06
2026-02-05 18:07:00,cibadak_bogor,42,50,1,15,1.03
2026-02-05 18:08:00,cibadak_bogor,38,4,0,5,0.83
2026-02-05 18:08:00,cibadak_bogor,17,11,0,2,1.04
2026-02-05 18:09:00,cibadak_bogor,67,76,0,5,1.04
2026-02-05 18:09:00,cibadak_bogor,67,49,3,12,1.02
2026-02-05 18:10:00,cibadak_bogor,21,29,0,3,0.93
2026-02-05 18:10:00,cibadak_bogor,20,39,0,4,1.07
2026-02-05 18:42:00,cibadak_bogor,35,13,1,3,0.9
2026-02-05 18:42:00,cibadak_bogor,21,8,0,4,0.86
2026-02-05 18:43:00,cibadak_bogor,34,16,0,0,1.03
2026-02-05 18:43:00,cibadak_bogor,29,15,0,0,0.83
2026-02-05 18:44:00,cibadak_bogor,59,47,0,0,1.12
2026-02-05 18:44:00,cibadak_bogor,46,28,0,0,1.03
2026-02-05 18:45:00,cibadak_bogor,55,22,0,7,0.99
2026-02-05 18:45:00,cibadak_bogor,55,16,0,2,1.0
2026-02-05 18:46:00,cibadak_bogor,20,17,0,0,0.92
2026-02-05 18:46:00,cibadak_bogor,25,2,3,4,0.97
2026-02-05 18:47:00,cibadak_bogor,64,114,0,3,1.04
2026-02-05 18:47:00,cibadak_bogor,59,79,0,6,1.1
2026-02-05 18:48:00,cibadak_bogor,58,23,0,9,1.04
2026-02-05 18:48:00,cibadak_bogor,44,12,2,4,1.0
2026-02-05 18:49:00,cibadak_bogor,19,3,0,1,0.96
2026-02-05 18:49:00,cibadak_bogor,28,7,0,4,0.96
2026-02-05 18:50:00,cibadak_bogor,65,41,1,9,0.96
2026-02-05 18:50:00,cibadak_bogor,81,26,0,6,1.08
2026-02-05 18:51:00,cibadak_bogor,48,2,0,0,1.04
2026-02-05 18:51:00,cibadak_bogor,41,18,0,3,1.13
2026-02-05 18:52:00,cibadak_bogor,27,17,0,0,0.96
2026-02-05 18:52:00,cibadak_bogor,26,4,0,0,0.97
2026-02-05 18:53:00,cibadak_bogor,71,82,0,2,1.09
2026-02-05 18:53:00,cibadak_bogor,44,15,0,1,1.1
2026-02-05 18:54:00,cibadak_bogor,50,29,0,3,1.07
2026-02-05 18:54:00,cibadak_bogor,43,7,0,2,1.02
2026-02-05 18:55:00,cibadak_bogor,31,16,0,0,0.99
2026-02-05 18:55:00,cibadak_bogor,30,10,0,5,1.05
2026-02-05 18:56:00,cibadak_bogor,111,88,0,11,1.08
2026-02-05 18:56:00,cibadak_bogor,76,56,0,2,1.01
2026-02-05 18:57:00,cibadak_bogor,36,4,0,0,0.82
2026-02-05 18:57:00,cibadak_bogor,36,25,0,0,1.02
2026-02-05 18:58:00,cibadak_bogor,38,6,0,0,0.9
2026-02-05 18:58:00,cibadak_bogor,34,20,5,5,1.05
2026-02-05 18:58:00,cibadak_bogor,25,4,0,0,0.98
2026-02-05 18:59:00,cibadak_bogor,45,18,0,0,1.08
2026-02-05 18:59:00,cibadak_bogor,52,62,0,0,1.1
2026-02-05 18:59:00,cibadak_bogor,39,17,0,4,1.07
2026-02-05 19:00:00,cibadak_bogor,24,25,0,0,0.92
2026-02-05 19:00:00,cibadak_bogor,31,29,0,0,1.04
2026-02-05 19:00:00,cibadak_bogor,40,14,0,7,0.99
2026-02-05 19:01:00,cibadak_bogor,30,22,0,0,0.95
2026-02-05 19:01:00,cibadak_bogor,24,14,0,0,0.87
2026-02-05 19:01:00,cibadak_bogor,33,11,0,1,1.02
2026-02-05 19:02:00,cibadak_bogor,50,39,0,0,1.19
2026-02-05 19:02:00,cibadak_bogor,56,58,1,14,1.04
2026-02-05 19:02:00,cibadak_bogor,35,57,0,0,1.03
2026-02-05 19:03:00,cibadak_bogor,37,3,3,7,1.01
2026-02-05 19:03:00,cibadak_bogor,36,6,0,4,0.98
2026-02-05 19:03:00,cibadak_bogor,23,10,0,0,0.92
2026-02-05 19:04:00,cibadak_bogor,33,32,0,0,1.04
2026-02-05 19:04:00,cibadak_bogor,31,15,0,0,0.99
2026-02-05 19:04:00,cibadak_bogor,27,20,0,0,0.91
2026-02-05 19:05:00,cibadak_bogor,51,33,1,10,1.06
2026-02-05 19:05:00,cibadak_bogor,52,52,0,1,1.09
2026-02-05 19:05:00,cibadak_bogor,48,38,0,0,0.99
2026-02-05 19:06:00,cibadak_bogor,35,3,1,4,0.83
2026-02-05 19:06:00,cibadak_bogor,36,9,0,1,0.86
2026-02-05 19:06:00,cibadak_bogor,48,39,0,0,0.92
2026-02-05 19:07:00,cibadak_bogor,15,35,0,0,1.01
2026-02-05 19:07:00,cibadak_bogor,37,11,0,0,0.89
2026-02-05 19:07:00,cibadak_bogor,30,27,0,0,0.91
2026-02-05 19:08:00,cibadak_bogor,50,32,2,2,0.97
2026-02-05 19:08:00,cibadak_bogor,29,77,0,0,0.98
2026-02-05 19:08:00,cibadak_bogor,28,71,0,0,0.93
2026-02-05 19:09:00,cibadak_bogor,32,16,0,1,0.75
2026-02-05 19:09:00,cibadak_bogor,34,12,0,0,0.96
2026-02-05 19:09:00,cibadak_bogor,31,7,0,0,0.95
2026-02-05 19:20:00,cibadak_bogor,37,3,0,2,0.9
2026-02-05 19:21:00,cibadak_bogor,48,14,0,1,0.93
2026-02-05 19:22:00,cibadak_bogor,58,52,0,10,1.03
2026-02-05 19:23:00,cibadak_bogor,49,10,4,10,1.09
2026-02-05 19:24:00,cibadak_bogor,22,6,0,0,1.06
2026-02-05 19:25:00,cibadak_bogor,60,61,0,6,1.05
2026-02-05 19:26:00,cibadak_bogor,42,21,1,2,0.95
2026-02-05 19:27:00,cibadak_bogor,26,14,0,0,0.98
2026-02-05 19:28:00,cibadak_bogor,51,30,0,0,1.08
2026-02-05 19:29:00,cibadak_bogor,49,23,0,0,0.98
2026-02-05 19:30:00,cibadak_bogor,27,24,0,0,0.99
2026-02-05 19:31:00,cibadak_bogor,48,76,0,1,1.05
2026-02-05 19:32:00,cibadak_bogor,20,21,0,0,1.06
2026-02-05 19:33:00,cibadak_bogor,16,16,0,0,0.9
2026-02-05 19:34:00,cibadak_bogor,46,25,0,0,0.95
2026-02-05 19:35:00,cibadak_bogor,15,11,0,1,1.04
